Leadership Self-Reflection Tool | Weekly Task Tracker,,,,,"(*) When planning adidas timelines, 3-weeks low/no availibility of adidas stakeholders from 22-Dec to 9-Jan (Christmas, New Year, and Epiphany holidays)",,,,,,,,,
✓,Wk Focus,Workstream,Task title,Task description,Why it matters,Latest update (19.11.2025),Adidas comments for next review (26.11.2025),Start,Wks (*),End,Lead,Status,Owner (adi),Owner (bsq)
FALSE,,PRODUCT DEV,Product Roadmap,"Prepare and update the MVP and associated product roadmap bi-weekly for the team, focusing on architecture decisions, including multilingual support for future scope. (Kicked off at the workshop on 10 November; see Product Roadmap file for details.)","Manage stakeholder expectations: Defining the product features in scope for MVP (early December), Pilot Testing (mid-January), the Enterprise Product (early April), and Future Scope.","Product Roadmap Review: Agreed 2-3 week cadence. Next reviews: 24 November (Pre-MVP Test) and 10 December (Post-MVP Test). Baresquare to prepare, facilitate, and document.",,31-Oct,21.0,27-Mar,baresquare,On Track,Zsofia,Nikos
FALSE,,PRODUCT DEV,"Updated UI 
(Mini Test)",Baresquare is working with a designer to prepare the updated version based on the consolidated and prioritized feedback within the next 2 weeks - we have almost everything we need,"Finalising the validated user interface design is a mandatory prerequisite for completing the work necessary for the Pilot Testing in Jan./Feb., keeping the project on track for the April Enterprise Go-Live.","Changes Implemented: All functional, copy, and quick-win changes are now complete based on feedback. UI Revamp: Brief shared with external designer (15 Nov); ETA 26 Nov. Code Testing Exception: Implemented to allow all users (assigned to 'Director' cohort) to complete the self-reflection.",,14-Nov,2.0,28-Nov,baresquare,On Track,Zsofia,Nikos
TRUE,,PRODUCT DEV,"Updated UI 
(Mini Test)",Quick feedback: a) pillar images b) full stops c) remove the wave hand emoji from the welcome screen? d) links to be 100% sure e) 24 and not 23 questions f) micro actions introduction (YES/NO)?,Validated UX and functionality is a prerequisite for completing the UI design / update in the next 2 weeks (for the Mini Testing),Completed,,14-Nov,0.0,14-Nov,baresquare,Completed,Zsofia,Nikos
TRUE,,PRODUCT DEV,Micro-Actions v3 review (Mini Test),"Review if micro actions provide useful leadership recommendations, contain words/languages not suitable for adidas, or miss words/languages not suitable for adidas","Micro-actions are the core of the LSR tool. They have to be relevant for the related leadership cohort, relate to the the self-reflection input the user gave, and align with the adidas tone and voice",Completed,,28-Oct,2.3,13-Nov,adidas,Completed,Zsofia,Nikos
FALSE,X,PRODUCT DEV,Ratings (Pilot),Confirm requirements for “Thumbs up/down” and other (optional) feedback functionality for Micro-Actions and Learning Recommendations.,Providing users with an easy way to give feedback on the tool’s usability and usefulness enables adidas and the product team to collect insights at scale. This is critical to ensuring an excellent user experience (UX) and informing future enhancements.,"Feature Feedback Mechanism: MVP feature (Thumbs Up/Down, optional comments) approved for early rollout. Privacy Confirmed: Feedback is anonymous and stored without personal identifiers. Action: Copy confirmed, pending quick bug fix on language settings (Nikos to resolve). Future: Analytics/sentiment analysis planned for later.",,17-Nov,4.0,15-Dec,baresquare,On Track,Zsofia,Nikos
FALSE,,PRODUCT DEV,Product Version Control (New Feature/UX request),"Investigate if version control and tracking mechanism for Micro Actions product iterations is needed. Out of scope for ""Mini Testing""",Provide visibility and historical tracking to Adidas post-go-live.,Not discussed on 19 Nov. Cover at Product Review on 24 Nov. or regular Weely PJ recap on 27 Nov.,,1-Dec,6.0,12-Jan,baresquare,Not Started,Divya,Nikos
FALSE,,PRODUCT DEV,System Integration Test,"System Integration Testing (SIT): Migrate and test Pilot app from baresquare to adidas technical environment, including service account user setup and stress testing.",Provide confidence to adidas users that the LSRT works securely and adhering to privacy rules on the adidas tech stack.,MVP Deployment Status: MVP version is now deployed onto the Adidas environment. Next Step: Pair programming session with Lucas this Friday to review publishing/sharing options. This session will determine if mini-testing proceeds with Plan A (Adidas env) or Plan B (Baresquare env).,,17-Nov,4.0,15-Dec,baresquare,On Track,Lukas,Nikos
FALSE,X,PRODUCT DEV,LF questions all cohorts,"Develop and finalise the Leadership Framework (LF) questions tailored for the Executive, Manager, and Team Lead leadership cohorts.","Preparing and testing the full range of questions is necessary to ensure the LSRT's content is scalable, relevant, and accurate across all key user segments. This validation confirms the technical and functional stability of the application beyond the Director cohort, which is mandatory for a successful Enterprise Go-Live.","Enterprise Product Timeline: Baresquare requires the LF questions by cohort to be finalised by adidas by end January to ensure the Enterprise Product is ready by end March. Adidas confirmed LF will contain roughly 20-30 questions per cohort, with 3-5 being cohort-specific, and acknowledged the January deadline.",,17-Nov,10.0,26-Jan,adidas,Paused,Zsofia,Nikos
FALSE,X,CHANGE REQUESTS,German language,"German language requirement / budget: Confirm by mid-December, if DE language is required for Enterprise go-live.","LSRT cannot go live in Germany without Workers Council approval. As the Council is highly likely to mandate a German language version, the project requires the associated Change Request (budget) to be approved by mid-December ideally to plan ressources for the April go-live date. ","German LSRT Version: Adidas confirmed German LSRT can wait until the Enterprise go-live (April readiness). Budget Constraint: Adidas stated no new budgets/Change Requests can be confirmed before mid January. 

BSQ Commitment: Baresquare can deliver the German version for an April Enterprise product readiness only if the related budget is approved and Change Request is signed by end January.",,4-Sep,20.0,22-Jan,adidas,Paused,Zsofia,Lars
FALSE,X,CHANGE REQUESTS,IC-Values Self-Reflection Tool,"
IC Self-Reflection Tool: Confirm business requirements by end-November. Facilitate the adidas budget approval process (Change Request).","Timely confirmation allows baresquare to propose a cost-effective solution, enabling the IC Self-Reflection Tool to launch with LSRT or shortly thereafter. Confirming requirements by end-November enables the Change Request quotation by December 6th. If the budget is confirmed by mid-January, baresquare can deliver a solution ready for go-live in April, aligning with the LSRT launch date.",IC-SRT Requirements: High-level business requirements and direction review agreed for 25 November. Baresquare to share requirements questions with Zsofia beforehand. This understanding is needed to provide a realistic budget/timeline estimate and confirm if a IC-SRT April Enterprise product readiness is feasible (contingent on budget approval/Change Request by end January).,,25-Nov,9.0,27-Jan,adidas,On Watch,Zsofia,Lars
